,Candidates,RegNum,Party Number,District Number,Mandates,Total Votes,Quota,Rank
0,ANDRES HERKEL,101,1,1,10,222.0,5619.1,3
1,ÕIE-MARI AASMÄE,102,1,1,10,43.0,5619.1,22
2,JÜRI PINO,106,1,1,10,36.0,5619.1,39
3,JAAK PROZES,103,1,1,10,35.0,5619.1,33
4,AGE MINKA,112,1,1,10,27.0,5619.1,99
5,JAANIKA KLOPETS,104,1,1,10,23.0,5619.1,41
6,TÕNU TEEVEER,111,1,1,10,19.0,5619.1,34
7,MARIKE LAHT,109,1,1,10,18.0,5619.1,77
8,JAANUS OJANGU,105,1,1,10,15.0,5619.1,9
9,SANDER KLAUSEN,110,1,1,10,12.0,5619.1,89
10,JAANUS PAASOJA,107,1,1,10,9.0,5619.1,53
11,PEETER LIINSOO,108,1,1,10,5.0,5619.1,65
12,KRISTEN MICHAL,226,2,1,10,6347.0,5619.1,6
13,HEIDY PURGA,227,2,1,10,4763.0,5619.1,35
14,ARTO AAS,228,2,1,10,2339.0,5619.1,9
15,SIGNE RIISALO,229,2,1,10,837.0,5619.1,65
16,ANTS LEEMETS,230,2,1,10,477.0,5619.1,45
17,MERIKE LANG,231,2,1,10,321.0,5619.1,50
18,LIIS KLAAR,232,2,1,10,307.0,5619.1,53
19,LEMBIT KOLK,236,2,1,10,274.0,5619.1,86
20,KRISTO ENN VAGA,237,2,1,10,248.0,5619.1,62
21,KATRIN HELENDI,235,2,1,10,181.0,5619.1,114
22,ANDRES ARO,233,2,1,10,104.0,5619.1,82
23,GEROL SILKIN,234,2,1,10,101.0,5619.1,93
24,ZÜLEYXA IZMAILOVA,351,3,1,10,923.0,5619.1,1
25,MATTIAS TUROVSKI,352,3,1,10,441.0,5619.1,9
26,KADRI SIKK,362,3,1,10,131.0,5619.1,72
27,ANNE VETIK,357,3,1,10,71.0,5619.1,46
28,FIDEELIA-SIGNE ROOTS,353,3,1,10,64.0,5619.1,32
29,KRISTINA SADOHHINA,359,3,1,10,35.0,5619.1,92
30,EERO UUSTALU,360,3,1,10,30.0,5619.1,50
31,HANNES LIITMÄE,356,3,1,10,30.0,5619.1,58
32,MIHKEL TIGANIK,361,3,1,10,28.0,5619.1,29
33,TARMO ANDRE ELVISTO,354,3,1,10,26.0,5619.1,22
34,MAIGI KÄIGE,355,3,1,10,22.0,5619.1,59
35,MARTTI PREEM,358,3,1,10,11.0,5619.1,82
